age,salary,department,signup_date,is_active,notes
56.0,51905.18359057698,HR,2023-01-01,True,some free text 0
69.0,31258.3441580011,Sales,2023-01-04,True,some free text 1
46.0,79176.73421730178,Marketing,2023-01-07,False,some free text 2
,47699.95313725789,Marketing,2023-01-10,False,some free text 3
60.0,36395.191618926794,Sales,2023-01-13,True,some free text 4
25.0,,Sales,2023-01-16,False,some free text 5
38.0,,Sales,2023-01-19,True,some free text 6
56.0,,Sales,2023-01-22,True,some free text 7
36.0,,Marketing,2023-01-25,True,some free text 8
40.0,,Engineering,2023-01-28,False,some free text 9
28.0,,Sales,2023-01-31,False,some free text 10
28.0,49589.35331622262,Sales,2023-02-03,False,some free text 11
41.0,62268.10268324847,Marketing,2023-02-06,False,some free text 12
53.0,34180.93295799744,Marketing,2023-02-09,False,some free text 13
57.0,38625.09319222637,HR,2023-02-12,False,some free text 14
41.0,56861.23473078714,Sales,2023-02-15,False,some free text 15
20.0,49034.3292379855,HR,2023-02-18,False,some free text 16
39.0,55173.53502567093,Marketing,2023-02-21,False,some free text 17
19.0,48798.689969712665,Marketing,2023-02-24,True,some free text 18
41.0,46379.298025336815,Engineering,2023-02-27,False,some free text 19
61.0,71502.73230934881,Sales,2023-03-02,False,some free text 20
47.0,65986.90562823956,HR,2023-03-05,False,some free text 21
55.0,12518.612875419334,Marketing,2023-03-08,False,some free text 22
19.0,72204.92841758246,Marketing,2023-03-11,False,some free text 23
38.0,82380.92785044655,HR,2023-03-14,False,some free text 24
50.0,68476.67565074166,Engineering,2023-03-17,False,some free text 25
29.0,46785.13275115711,Marketing,2023-03-20,False,some free text 26
39.0,39662.08684303632,Sales,2023-03-23,False,some free text 27
61.0,60917.496712488006,Marketing,2023-03-26,False,some free text 28
42.0,40713.9595946756,Sales,2023-03-29,False,some free text 29
66.0,55342.3974558407,HR,2023-04-01,True,some free text 30
44.0,49671.786884918525,Sales,2023-04-04,True,some free text 31
59.0,68270.75656634766,HR,2023-04-07,False,some free text 32
45.0,44158.12963544777,Sales,2023-04-10,False,some free text 33
33.0,43357.964826415366,HR,2023-04-13,True,some free text 34
